Code,Meaning,Comments
"2","Fresno",""
"1","Manzanar (up to 6/1/42)",""
"3","Marysville (Arboga)",""
"4","Mayer",""
"5","Merced",""
"0","None",""
"6","Pinedale",""
"7","Pomona",""
"8","Portland (Pacific Int. Exposition Ground)",""
"9","Puyallup",""
"-","Sacramento (Walerga)",""
"A","Salinas",""
"B","Santa Anita",""
"C","Stockton",""
"D","Tanforan",""
"E","Tulare",""
"F","Turlook",""
